WKT,name
"POINT (216.09254662251 156.081652329279)",magistrale
"POINT (201.114423151923 158.573492038672)",magistrale
"POINT (201.282477567902 160.334431298794)",magistrale
"POINT (203.507832872481 160.1204548272)",magistrale
"POINT (204.085569345785 163.651066608503)",magistrale
"POINT (201.913708159104 164.218104258228)",magistrale
"POINT (202.149082277858 165.715939559387)",magistrale
"POINT (176.108145684853 170.551807817414)",magistrale
"POINT (176.493303333723 173.333501948137)",magistrale
"POINT (222.305665902024 164.945624261648)",magistrale
"POINT (223.268560024198 169.802890166834)",magistrale
"POINT (229.580865936224 168.604621925907)",magistrale
"POINT (228.104428282225 162.998438370141)",magistrale
"POINT (237.583585973844 160.216744239418)",magistrale
"POINT (239.509374218191 166.860713682415)",magistrale
"POINT (245.650498952943 165.790831324445)",magistrale
"POINT (244.773195419407 160.890770124939)",magistrale
"POINT (324.682708736231 146.425960645177)",magistrale
"POINT (324.019381674289 142.702770039439)",magistrale
"POINT (331.701137004518 140.798379442251)",magistrale
"POINT (332.760320538909 144.403882988612)",magistrale
"POINT (292.543442702794 116.940002859507)",5608.EG.036
"POINT (300.69594627053 114.671852260609)",5608.EG.036
"POINT (299.176713322212 109.301042823597)",5608.EG.036
"POINT (290.895823871519 111.547795775335)",5608.EG.036
"POINT (292.543442702794 116.940002859507)",5608.EG.036
"POINT (290.86907681257 111.293966185906)",5608.EG.038
"POINT (299.103426380691 109.086531410824)",5608.EG.038
"POINT (297.126283783161 102.099129730918)",5608.EG.038
"POINT (288.790830332212 104.368350212173)",5608.EG.038
"POINT (290.86907681257 111.293966185906)",5608.EG.038
"POINT (288.152577495084 101.98850609951)",5608.EG.053
"POINT (296.449384731191 99.659577752532)",5608.EG.053
"POINT (295.066583525173 95.0381105639986)",5608.EG.053
"POINT (286.733386783645 97.3670389109761)",5608.EG.053
"POINT (288.152577495084 101.98850609951)",5608.EG.053
"POINT (293.843920330766 91.4801963898185)",5608.EG.055
"POINT (285.692671116345 93.6999562205314)",5608.EG.055
"POINT (286.711577268147 97.2661277518407)",5608.EG.055
"POINT (294.935605493411 94.9190046521524)",5608.EG.055
"POINT (293.843920330766 91.4801963898185)",5608.EG.055
