WKT
"MULTILINESTRING ((342.065878017984 133.113390660098,337.665770243103 132.624364076493))"
"MULTILINESTRING ((337.665770243103 132.624364076493,330.87638756696 132.085312635067))"
"MULTILINESTRING ((330.87638756696 132.085312635067,325.697572270454 134.753142861836))"
"MULTILINESTRING ((325.697572270454 134.753142861836,321.477224888951 136.209829294986))"
"MULTILINESTRING ((321.477224888951 136.209829294986,320.687031776764 142.315425848424))"
"MULTILINESTRING ((321.477224888951 136.209829294986,317.19376071745 136.749192122268))"
"MULTILINESTRING ((317.19376071745 136.749192122268,311.152978930825 130.937816043538))"
"MULTILINESTRING ((311.152978930825 130.937816043538,308.879096819295 133.945379534567))"
"MULTILINESTRING ((308.408348581788 137.925341906218,307.547093283622 141.66725545322))"
"MULTILINESTRING ((307.547093283622 141.66725545322,308.982646147513 147.312110798384))"
"MULTILINESTRING ((318.346664118704 128.125553845444,330.87638756696 132.085312635067))"
"MULTILINESTRING ((330.87638756696 132.085312635067,341.252335935065 126.046925264244))"
"MULTILINESTRING ((331.613205357539 138.926270983052,330.87638756696 132.085312635067))"
"MULTILINESTRING ((330.87638756696 132.085312635067,335.362888288332 136.847642401852))"
"MULTILINESTRING ((308.408348581788 137.925341906218,308.879096819295 133.945379534567))"
"MULTILINESTRING ((295.481749725503 131.834479353075,308.879096819295 133.945379534567))"
"MULTILINESTRING ((325.697572270454 134.753142861836,316.278224893294 130.397780186658))"
"MULTILINESTRING ((321.477224888951 136.209829294986,316.278224893294 130.397780186658))"
"MULTILINESTRING ((307.547093283622 141.66725545322,300.692155143687 142.658850278494))"
"MULTILINESTRING ((300.692155143687 142.658850278494,290.532931974932 144.128423441269))"
"MULTILINESTRING ((290.532931974932 144.128423441269,285.818852061075 144.810334372205))"
"MULTILINESTRING ((285.818852061075 144.810334372205,280.32928609685 145.604422530552))"
"MULTILINESTRING ((278.69988073905 152.895877771411,280.32928609685 145.604422530552))"
"MULTILINESTRING ((280.32928609685 145.604422530552,279.578055392382 140.843240689661))"
"MULTILINESTRING ((279.578055392382 140.843240689661,278.847382103908 136.212348512311))"
"MULTILINESTRING ((307.547093283622 141.66725545322,293.681417924323 137.430521315656))"
"MULTILINESTRING ((295.481749725503 131.834479353075,300.445154052164 135.879456870993))"
"MULTILINESTRING ((300.445154052164 135.879456870993,307.547093283622 141.66725545322))"
"MULTILINESTRING ((308.879096819295 133.945379534567,300.445154052164 135.879456870993))"
"MULTILINESTRING ((300.445154052164 135.879456870993,293.681417924323 137.430521315656))"
"MULTILINESTRING ((308.408348581788 137.925341906218,300.445154052164 135.879456870993))"
"MULTILINESTRING ((300.692155143687 142.658850278494,293.681417924323 137.430521315656))"
"MULTILINESTRING ((300.692155143687 142.658850278494,306.684470862706 146.022198256938))"
"MULTILINESTRING ((306.684470862706 146.022198256938,308.982646147513 147.312110798384))"
"MULTILINESTRING ((305.39603341144 147.973437776637,306.684470862706 146.022198256938))"
"MULTILINESTRING ((306.684470862706 146.022198256938,307.547093283622 141.66725545322))"
"MULTILINESTRING ((279.578055392382 140.843240689661,287.032890822783 139.03932610931))"
"MULTILINESTRING ((287.032890822783 139.03932610931,293.681417924323 137.430521315656))"
"MULTILINESTRING ((276.772837927006 136.830232109303,279.578055392382 140.843240689661))"
"MULTILINESTRING ((312.5159092903 126.125405388106,324.494029833876 123.971401252386))"
"MULTILINESTRING ((324.494029833876 123.971401252386,327.134383959394 127.328091724669))"
"MULTILINESTRING ((327.134383959394 127.328091724669,330.87638756696 132.085312635067))"
"MULTILINESTRING ((318.346664118704 128.125553845444,324.494029833876 123.971401252386))"
"MULTILINESTRING ((324.494029833876 123.971401252386,333.010163649282 126.794880400498))"
"MULTILINESTRING ((333.010163649282 126.794880400498,330.87638756696 132.085312635067))"
"MULTILINESTRING ((234.304857561164 154.699393746276,237.770071371364 156.199262410392))"
"MULTILINESTRING ((237.770071371364 156.199262410392,241.814412778539 157.949798243349))"
"MULTILINESTRING ((254.973074212947 147.958163718087,256.731629655386 156.401016163239))"
"MULTILINESTRING ((248.68216594808 149.413203724927,251.433164644484 157.338436895937))"
"MULTILINESTRING ((256.731629655386 156.401016163239,253.007101882144 153.167719828593))"
"MULTILINESTRING ((253.007101882144 153.167719828593,248.68216594808 149.413203724927))"
"MULTILINESTRING ((254.973074212947 147.958163718087,253.007101882144 153.167719828593))"
"MULTILINESTRING ((253.007101882144 153.167719828593,251.433164644484 157.338436895937))"
"MULTILINESTRING ((248.68216594808 149.413203724927,254.973074212947 147.958163718087))"
"MULTILINESTRING ((254.973074212947 147.958163718087,265.234970777544 147.005582602386))"
"MULTILINESTRING ((265.234970777544 147.005582602386,275.659603978171 146.037895132286))"
"MULTILINESTRING ((275.659603978171 146.037895132286,280.32928609685 145.604422530552))"
"MULTILINESTRING ((254.973074212947 147.958163718087,260.514007946601 146.355914290093))"
"MULTILINESTRING ((260.514007946601 146.355914290093,269.390915834861 143.789014689772))"
"MULTILINESTRING ((269.390915834861 143.789014689772,279.578055392382 140.843240689661))"
"MULTILINESTRING ((275.643074001991 153.181179733537,278.69988073905 152.895877771411))"
"MULTILINESTRING ((259.625406699802 156.074956777952,256.731629655386 156.401016163239))"
"MULTILINESTRING ((265.234970777544 147.005582602386,269.390915834861 143.789014689772))"
"MULTILINESTRING ((289.439899975132 150.915551209711,290.532931974932 144.128423441269))"
"MULTILINESTRING ((269.390915834861 143.789014689772,263.62057000028 140.747512206615))"
"MULTILINESTRING ((263.62057000028 140.747512206615,260.514007946601 146.355914290093))"
"MULTILINESTRING ((260.514007946601 146.355914290093,255.723847159928 143.099477311709))"
"MULTILINESTRING ((255.723847159928 143.099477311709,254.973074212947 147.958163718087))"
